id;status;progress;commission_amount;avg_rating;start_date;end_date;start_time;end_time;amount_received;user_name;skill_name;fees;remarks
1;Progress;97889;39309;48674;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized;local Shoes;64547;Chips;Villages uniform PCI;74771;Factors
2;Propose;96665;57229;96361;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;35864;Open-architected;FTP;74076;Belize Dollar Sudanese Pound real-time
3;Progress;41978;81011;25620;Personal Loan Account Sleek Beauty;digital deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;3594;Dale;Specialist generating;86040;Assimilated
4;Propose;36019;53708;12706;South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;4106;morph content bypass;Electronics;96264;navigating
5;Propose;23978;54922;9387;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;1439;Wooden Ergonomic Steel Gloves;Developer Shoes Music;76336;online e-business
6;Completed;61585;94914;63509;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;12850;haptic parsing;revolutionize Branding;90535;black
7;Progress;37725;1822;3896;Credit Card Account;Handcrafted Plastic Shirt quantifying;wireless;hybrid;11816;Rupiah Personal Loan Account HTTP;schemas Specialist China;42347;South Dakota Wyoming interface
8;Completed;77641;58054;34080;Infrastructure SSL bandwidth;application Configurable iterate;Berkshire navigating;superstructure;9998;Small Frozen Salad bypassing;time-frame Quality;95060;Missouri deposit
9;Progress;55370;67251;21272;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;8410;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;58130;PCI SAS
10;Propose;98600;59188;75337;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;57147;hack;Fresh payment synthesize;58336;Markets
