id;status;progress;commission_amount;avg_rating;start_date;end_date;start_time;end_time;amount_received;user_id;user_name;training_id;skill_name;fees;remarks
1;Completed;97889;39309;48674;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized;local Shoes;64547;4360;Representative;46994;uniform PCI back up;95307;hardware Venezuela Wisconsin
2;Propose;85113;26847;31692;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;70891;35949;discrete redundant;81011;HDD;91324;Avon
3;Propose;7094;70196;39678;Unbranded Fresh Pants Tools California;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;36019;53708;interface;82786;composite Orchestrator Club;84202;sky blue
4;Propose;72609;13274;97585;Buckinghamshire alliance redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;44235;25024;Benin;71459;invoice;27993;Operations alarm
5;Propose;4771;24773;56603;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;43385;64977;Generic Frozen Tuna HTTP;26089;Kids Optimization;50103;Norfolk Island Chilean Peso Unidades de fomento Checking Account
6;Progress;94023;80094;57547;incubate deposit Station;parsing Investment Account;Branding Dynamic black;yellow;37725;1822;Generic;68300;Handcrafted Plastic Shirt quantifying;2327;open-source hybrid
7;Progress;34833;62894;93664;Handmade Cotton Bacon Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;85841;23859;Dobra application;23823;iterate;53432;Buckinghamshire monetize
8;Completed;38920;5348;1083;Internal Fantastic time-frame;CFP Franc Borders Borders;Common;Money Market Account;55370;67251;parse;79157;back-end Unbranded Cambridgeshire;5755;Austria mindshare EXE
9;Propose;68803;76151;83696;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;81279;23668;Principal Pennsylvania dynamic;70818;Buckinghamshire;37798;system Triple-buffered
10;Completed;49262;25368;1135;Parkway Handmade Wooden Cheese;quantifying;synthesize Idaho Markets;Glen Refined;52837;22359;Assistant Industrial;96987;Incredible Fresh Car Tuvalu;99296;Gorgeous Rubber Chicken Associate Central African Republic
