id;status;commission_amount;avg_rating;start_date;end_date;start_time;end_time;mentor_id;mentor_name;skill_name;fees;remarks
1;Inactive;77969;59865;Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;93855;Electronics;Soap methodology Albania;43194;intangible
2;Active;23277;45606;bluetooth;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;94220;South Dakota envisioneer Music;Nakfa;44015;Rubber Buckinghamshire Games
3;Active;42515;52006;Mayotte;Industrial;connect Markets Chief;capacitor archive;57044;Aruba;software scale interactive;82873;compelling mission-critical
4;Inactive;16526;7455;Administrator;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;65107;Internal;Investment Account archive Fantastic Plastic Chicken;32518;pixel withdrawal
5;Active;84891;76078;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;69551;Concrete Investment Account Saint Lucia;User-centric;7697;neutral Salad
6;Inactive;45653;80367;maroon;EXE projection Fresh;support Gorgeous;withdrawal;52;cutting-edge ability Hat;supply-chains magenta;11986;24/7
7;Inactive;40383;36362;Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;97661;paradigms Home;Investor Public-key;14489;Berkshire Designer
8;Inactive;8085;76161;Ergonomic transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;neural-net red;Buckinghamshire Future-proofed deposit;17436;Yen synthesize Creative
9;Inactive;73521;11347;Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;55829;THX pink even-keeled;bus Internal AI;77987;invoice Unbranded Cheese
10;Active;94013;66350;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;36646;program alarm;Nevada;9367;turn-key dedicated
